2023-04-08 15:30:13,085:                        3er WG                           |                                                                                    Köln |                                                                            Kalscheurer Weg                     
2023-04-08 15:30:13,085:                        7er WG                           |                                                                                    Köln                                                        Bornheim - Sechtem |                                                Bahnhofstr. 3                     
2023-04-08 15:30:13,086:                        3er WG                           |                                                                                    Köln                                                        Ehrenfeld |                                                Fröbelstraße 40                     
2023-04-08 15:30:13,086:                        4er WG                           |                                                                                    Köln                                                        Brück Lyn - |                                                Fasanenweg                     
2023-04-08 15:30:13,087:                        3er WG                           |                                                                                    Köln                                                        Neuehrenfeld |                                                Vogelsanger Str. 185                     
2023-04-08 15:30:13,088:                        2er WG                           |                                                                                    Köln                                                        Riehl |                                                Rotterdamer Straße 6                     
2023-04-08 15:30:13,090:                        6er WG                           |                                                                                    Köln                                                        Hürth |                                                Hahnenstraße 29                     
2023-04-08 15:30:13,091:                        2er WG                           |                                                                                    Köln                                                        Bergisch Gladbach Refrath |                                                Vürfels 141                     
2023-04-08 15:30:13,092:                        2er WG                           |                                                                                    Köln                                                        Bergisch Gladbach Lustheide |                                                Vürfels 141                     
2023-04-08 15:30:13,094:                        6er WG                           |                                                                                    Köln                                                        Lindenthal |                                                Leiblplatz 5                     
2023-04-08 15:30:13,094:                        3er WG                           |                                                                                    Köln                                                        Altstadt-Süd |                                                Rolandstraße 5                     
2023-04-08 15:30:13,095:                        2er WG                           |                                                                                    Köln                                                        Meschenich |                                                An der Fuhr 1                     
2023-04-08 15:30:13,095:                        3er WG                           |                                                                                    Köln                                                        Meschenich |                                                An der Fuhr 1                     
2023-04-08 15:30:13,096:                        9er WG                           |                                                                                    Köln                                                        Lindenthal |                                                Heinestraße 30                     
2023-04-08 15:30:13,097:                        3er WG                           |                                                                                    Köln                                                        Ehrenfeld |                                                Heliosstr. 4                     
2023-04-08 15:30:13,097:                        3er WG                           |                                                                                    Köln                                                        Ehrenfeld |                                                Stammstraße 80                     
2023-04-08 15:30:13,098:                        2er WG                           |                                                                                    Köln                                                        Ehrenfeld |                                                Ehrenfeld                     
2023-04-08 15:30:13,098:                        2er WG                           |                                                                                    Köln                                                        Altstadt-Süd |                                                Mauritiussteinweg                     
2023-04-08 15:30:40,050:                        2er WG                           |                                                                                    Köln                                                        Bickendorf |                                                Feltenstr                     
2023-04-08 15:30:40,051:                        2er WG                           |                                                                                    Köln                                                        Sülz |                                                Nikolausstr.131                     
2023-04-08 15:30:40,052:                        3er WG                           |                                                                                    Köln |                                                                            Kalscheurer Weg                     
2023-04-08 15:30:40,052:                        7er WG                           |                                                                                    Köln                                                        Bornheim - Sechtem |                                                Bahnhofstr. 3                     
2023-04-08 15:30:40,053:                        3er WG                           |                                                                                    Köln                                                        Ehrenfeld |                                                Fröbelstraße 40                     
2023-04-08 15:30:40,053:                        4er WG                           |                                                                                    Köln                                                        Brück Lyn - |                                                Fasanenweg                     
2023-04-08 15:30:40,054:                        3er WG                           |                                                                                    Köln                                                        Neuehrenfeld |                                                Vogelsanger Str. 185                     
2023-04-08 15:30:40,054:                        2er WG                           |                                                                                    Köln                                                        Riehl |                                                Rotterdamer Straße 6                     
2023-04-08 15:30:40,055:                        6er WG                           |                                                                                    Köln                                                        Hürth |                                                Hahnenstraße 29                     
2023-04-08 15:30:40,056:                        2er WG                           |                                                                                    Köln                                                        Bergisch Gladbach Refrath |                                                Vürfels 141                     
2023-04-08 15:30:40,056:                        2er WG                           |                                                                                    Köln                                                        Bergisch Gladbach Lustheide |                                                Vürfels 141                     
2023-04-08 15:30:40,057:                        6er WG                           |                                                                                    Köln                                                        Lindenthal |                                                Leiblplatz 5                     
2023-04-08 15:30:40,057:                        3er WG                           |                                                                                    Köln                                                        Altstadt-Süd |                                                Rolandstraße 5                     
2023-04-08 15:30:40,058:                        2er WG                           |                                                                                    Köln                                                        Meschenich |                                                An der Fuhr 1                     
2023-04-08 15:30:40,059:                        3er WG                           |                                                                                    Köln                                                        Meschenich |                                                An der Fuhr 1                     
2023-04-08 15:30:40,059:                        9er WG                           |                                                                                    Köln                                                        Lindenthal |                                                Heinestraße 30                     
2023-04-08 15:30:40,059:                        3er WG                           |                                                                                    Köln                                                        Ehrenfeld |                                                Heliosstr. 4                     
2023-04-08 15:30:40,061:                        3er WG                           |                                                                                    Köln                                                        Ehrenfeld |                                                Stammstraße 80                     
2023-04-08 15:30:40,062:                        2er WG                           |                                                                                    Köln                                                        Ehrenfeld |                                                Ehrenfeld                     
2023-04-08 15:30:40,062:                        2er WG                           |                                                                                    Köln                                                        Altstadt-Süd |                                                Mauritiussteinweg                     
2023-04-08 16:00:15,583:                        6er WG                           |                                                                                    Köln                                                        Lindenthal |                                                Bachemerstraße 107a                     
2023-04-08 16:00:15,584:                        3er WG                           |                                                                                    Köln                                                        wahnheide |                                                Magazinstrasse                     
2023-04-08 16:00:15,586:                        2er WG                           |                                                                                    Köln                                                        Bickendorf |                                                Feltenstr                     
2023-04-08 16:00:15,587:                        2er WG                           |                                                                                    Köln                                                        Sülz |                                                Nikolausstr.131                     
2023-04-08 16:00:15,588:                        3er WG                           |                                                                                    Köln |                                                                            Kalscheurer Weg                     
2023-04-08 16:00:15,588:                        7er WG                           |                                                                                    Köln                                                        Bornheim - Sechtem |                                                Bahnhofstr. 3                     
2023-04-08 16:00:15,589:                        3er WG                           |                                                                                    Köln                                                        Ehrenfeld |                                                Fröbelstraße 40                     
2023-04-08 16:00:15,590:                        4er WG                           |                                                                                    Köln                                                        Brück Lyn - |                                                Fasanenweg                     
2023-04-08 16:00:15,590:                        3er WG                           |                                                                                    Köln                                                        Neuehrenfeld |                                                Vogelsanger Str. 185                     
2023-04-08 16:00:15,591:                        2er WG                           |                                                                                    Köln                                                        Riehl |                                                Rotterdamer Straße 6                     
2023-04-08 16:00:15,591:                        6er WG                           |                                                                                    Köln                                                        Hürth |                                                Hahnenstraße 29                     
2023-04-08 16:00:15,592:                        2er WG                           |                                                                                    Köln                                                        Bergisch Gladbach Refrath |                                                Vürfels 141                     
2023-04-08 16:00:15,592:                        2er WG                           |                                                                                    Köln                                                        Bergisch Gladbach Lustheide |                                                Vürfels 141                     
2023-04-08 16:00:15,593:                        6er WG                           |                                                                                    Köln                                                        Lindenthal |                                                Leiblplatz 5                     
2023-04-08 16:00:15,593:                        3er WG                           |                                                                                    Köln                                                        Altstadt-Süd |                                                Rolandstraße 5                     
2023-04-08 16:00:15,594:                        2er WG                           |                                                                                    Köln                                                        Meschenich |                                                An der Fuhr 1                     
2023-04-08 16:00:15,594:                        3er WG                           |                                                                                    Köln                                                        Meschenich |                                                An der Fuhr 1                     
2023-04-08 16:00:15,595:                        9er WG                           |                                                                                    Köln                                                        Lindenthal |                                                Heinestraße 30                     
2023-04-08 16:00:15,595:                        3er WG                           |                                                                                    Köln                                                        Ehrenfeld |                                                Heliosstr. 4                     
2023-04-08 16:00:15,596:                        3er WG                           |                                                                                    Köln                                                        Ehrenfeld |                                                Stammstraße 80                     
2023-04-08 16:00:19,863:                        6er WG                           |                                                                                    Köln                                                        Lindenthal |                                                Bachemerstraße 107a                     
2023-04-08 16:00:19,864:                        3er WG                           |                                                                                    Köln                                                        wahnheide |                                                Magazinstrasse                     
2023-04-08 16:00:19,865:                        2er WG                           |                                                                                    Köln                                                        Bickendorf |                                                Feltenstr                     
2023-04-08 16:00:19,866:                        2er WG                           |                                                                                    Köln                                                        Sülz |                                                Nikolausstr.131                     
2023-04-08 16:00:19,869:                        3er WG                           |                                                                                    Köln |                                                                            Kalscheurer Weg                     
2023-04-08 16:00:19,871:                        7er WG                           |                                                                                    Köln                                                        Bornheim - Sechtem |                                                Bahnhofstr. 3                     
2023-04-08 16:00:19,873:                        3er WG                           |                                                                                    Köln                                                        Ehrenfeld |                                                Fröbelstraße 40                     
2023-04-08 16:00:19,874:                        4er WG                           |                                                                                    Köln                                                        Brück Lyn - |                                                Fasanenweg                     
2023-04-08 16:00:19,876:                        3er WG                           |                                                                                    Köln                                                        Neuehrenfeld |                                                Vogelsanger Str. 185                     
2023-04-08 16:00:19,877:                        2er WG                           |                                                                                    Köln                                                        Riehl |                                                Rotterdamer Straße 6                     
2023-04-08 16:00:19,879:                        6er WG                           |                                                                                    Köln                                                        Hürth |                                                Hahnenstraße 29                     
